id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_kawin,jumlah_penduduk,satuan,tahun
519,32,JAWA BARAT,3275,KOTA BEKASI,CERAI MATI,51761,JIWA,2017
520,32,JAWA BARAT,3275,KOTA BEKASI,KAWIN,1138816,JIWA,2017
521,32,JAWA BARAT,3276,KOTA DEPOK,BELUM KAWIN,873500,JIWA,2017
522,32,JAWA BARAT,3276,KOTA DEPOK,CERAI HIDUP,14375,JIWA,2017
523,32,JAWA BARAT,3276,KOTA DEPOK,CERAI MATI,56753,JIWA,2017
524,32,JAWA BARAT,3276,KOTA DEPOK,KAWIN,867294,JIWA,2017
525,32,JAWA BARAT,3277,KOTA CIMAHI,BELUM KAWIN,246293,JIWA,2017
526,32,JAWA BARAT,3277,KOTA CIMAHI,CERAI HIDUP,8852,JIWA,2017
527,32,JAWA BARAT,3277,KOTA CIMAHI,CERAI MATI,18059,JIWA,2017
528,32,JAWA BARAT,3277,KOTA CIMAHI,KAWIN,262481,JIWA,2017
529,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BELUM KAWIN,320076,JIWA,2017
530,32,JAWA BARAT,3278,KOTA TASIKMALAYA,CERAI HIDUP,13165,JIWA,2017
531,32,JAWA BARAT,3278,KOTA TASIKMALAYA,CERAI MATI,27647,JIWA,2017
532,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KAWIN,333718,JIWA,2017
533,32,JAWA BARAT,3279,KOTA BANJAR,BELUM KAWIN,85918,JIWA,2017
534,32,JAWA BARAT,3279,KOTA BANJAR,CERAI HIDUP,5828,JIWA,2017
535,32,JAWA BARAT,3279,KOTA BANJAR,CERAI MATI,11079,JIWA,2017
536,32,JAWA BARAT,3279,KOTA BANJAR,KAWIN,98523,JIWA,2017
537,32,JAWA BARAT,3201,KABUPATEN BOGOR,BELUM KAWIN,1995321,JIWA,2018
538,32,JAWA BARAT,3201,KABUPATEN BOGOR,CERAI HIDUP,55470,JIWA,2018
539,32,JAWA BARAT,3201,KABUPATEN BOGOR,CERAI MATI,141101,JIWA,2018
540,32,JAWA BARAT,3201,KABUPATEN BOGOR,KAWIN,2393920,JIWA,2018
541,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BELUM KAWIN,1098733,JIWA,2018
542,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CERAI HIDUP,56839,JIWA,2018
543,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CERAI MATI,84852,JIWA,2018
544,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KAWIN,1311672,JIWA,2018
545,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BELUM KAWIN,984157,JIWA,2018
546,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CERAI HIDUP,42884,JIWA,2018
547,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CERAI MATI,75180,JIWA,2018
548,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KAWIN,1160980,JIWA,2018
549,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BELUM KAWIN,1640530,JIWA,2018
550,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CERAI HIDUP,46750,JIWA,2018
551,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CERAI MATI,100048,JIWA,2018
552,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KAWIN,1748665,JIWA,2018
553,32,JAWA BARAT,3205,KABUPATEN GARUT,BELUM KAWIN,1000822,JIWA,2018
554,32,JAWA BARAT,3205,KABUPATEN GARUT,CERAI HIDUP,32144,JIWA,2018
555,32,JAWA BARAT,3205,KABUPATEN GARUT,CERAI MATI,74254,JIWA,2018
556,32,JAWA BARAT,3205,KABUPATEN GARUT,KAWIN,1128251,JIWA,2018
557,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BELUM KAWIN,711634,JIWA,2018
558,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CERAI HIDUP,37752,JIWA,2018
559,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CERAI MATI,73515,JIWA,2018
560,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KAWIN,939722,JIWA,2018
561,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BELUM KAWIN,491139,JIWA,2018
562,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CERAI HIDUP,19689,JIWA,2018
563,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CERAI MATI,63132,JIWA,2018
564,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KAWIN,666325,JIWA,2018
565,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BELUM KAWIN,479273,JIWA,2018
566,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CERAI HIDUP,16412,JIWA,2018
567,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CERAI MATI,52027,JIWA,2018
568,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KAWIN,599804,JIWA,2018
569,32,JAWA BARAT,3209,KABUPATEN CIREBON,BELUM KAWIN,913200,JIWA,2018
570,32,JAWA BARAT,3209,KABUPATEN CIREBON,CERAI HIDUP,37635,JIWA,2018
571,32,JAWA BARAT,3209,KABUPATEN CIREBON,CERAI MATI,89585,JIWA,2018
572,32,JAWA BARAT,3209,KABUPATEN CIREBON,KAWIN,1122156,JIWA,2018
573,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BELUM KAWIN,503564,JIWA,2018
574,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CERAI HIDUP,27783,JIWA,2018
575,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CERAI MATI,53012,JIWA,2018
576,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KAWIN,694395,JIWA,2018
577,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BELUM KAWIN,465193,JIWA,2018
578,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CERAI HIDUP,21777,JIWA,2018
579,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CERAI MATI,47555,JIWA,2018
580,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KAWIN,613673,JIWA,2018
581,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BELUM KAWIN,825664,JIWA,2018
582,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CERAI HIDUP,27902,JIWA,2018
583,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CERAI MATI,77242,JIWA,2018
584,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KAWIN,924650,JIWA,2018
585,32,JAWA BARAT,3213,KABUPATEN SUBANG,BELUM KAWIN,642621,JIWA,2018
586,32,JAWA BARAT,3213,KABUPATEN SUBANG,CERAI HIDUP,24352,JIWA,2018
587,32,JAWA BARAT,3213,KABUPATEN SUBANG,CERAI MATI,61044,JIWA,2018
588,32,JAWA BARAT,3213,KABUPATEN SUBANG,KAWIN,835089,JIWA,2018
589,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BELUM KAWIN,395076,JIWA,2018
590,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CERAI HIDUP,19252,JIWA,2018
591,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CERAI MATI,40944,JIWA,2018
592,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KAWIN,480942,JIWA,2018
593,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BELUM KAWIN,949363,JIWA,2018
594,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CERAI HIDUP,37079,JIWA,2018
595,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CERAI MATI,85857,JIWA,2018
596,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KAWIN,1199661,JIWA,2018
597,32,JAWA BARAT,3216,KABUPATEN BEKASI,BELUM KAWIN,1146224,JIWA,2018
598,32,JAWA BARAT,3216,KABUPATEN BEKASI,CERAI HIDUP,23623,JIWA,2018
599,32,JAWA BARAT,3216,KABUPATEN BEKASI,CERAI MATI,57982,JIWA,2018
600,32,JAWA BARAT,3216,KABUPATEN BEKASI,KAWIN,1412741,JIWA,2018
601,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BELUM KAWIN,729241,JIWA,2018
602,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CERAI HIDUP,33676,JIWA,2018
603,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CERAI MATI,43135,JIWA,2018
604,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KAWIN,843759,JIWA,2018
605,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BELUM KAWIN,158500,JIWA,2018
